locale,ID,Description
en,USD,US Dollar
en,COP,Colombian Peso
en,EUR,Euro
en,CAD,Canadian Dollar
en,CHF,Swiss Franc
en,GBP,UK Pound
es,USD,US Dollar
es,COP,Peso Colombiano
es,EUR,Euro
es,CAD,Dolar Canadiense
es,CHF,Franco Suizo
es,GBP,Libra Esterlina
fr,USD,US Dollar
fr,COP,Peso Colombian
fr,EUR,Euro
fr,CAD,Dolar Canadiense
fr,CHF,Franco Suizo
fr,GBP,Libra Esterlina
